PP962386.1	Gomphosus caeruleus
PP962385.1	Coris aygula
PP962384.1	Epibulus insidiator
PP962383.1	Cheilio inermis
PP962382.1	Oxycheilinus digramma
PP988396.1	Steno bredanensis
PP988394.1	Crocodylus palustris
PP988389.1	Kogia sima
PP981401.1	Pelecanus onocrotalus
LC830265.1	Pristipomoides sieboldii
LC830264.1	Hemiramphus far
LC830263.1	Ventrifossa garmani
LC830262.1	Pterygotrigla macrorhynchus
LC829650.1	Lutjanus ophuysenii
LC829649.1	Chlorophthalmus albatrossis
OR737884.1	Sauvagella robusta
OR737883.1	Sauvagella robusta
OR737882.1	Sauvagella robusta
OR737881.1	Sauvagella robusta
OR737880.1	Sauvagella robusta
OR737879.1	Sauvagella robusta
OR737878.1	Sauvagella robusta
OR737849.1	Awaous aeneofuscus
OR737848.1	Awaous aeneofuscus
XM_020633555.3	Labrus bergylta
XM_020642338.3	Labrus bergylta
XM_020629070.3	Labrus bergylta
XM_020632545.3	Labrus bergylta
XM_020634188.3	Labrus bergylta
XM_065951442.1	Labrus bergylta
XM_020638740.3	Labrus bergylta
XM_020643908.3	Labrus bergylta
XM_020658052.3	Labrus bergylta
XM_020643086.3	Labrus bergylta
XM_065964873.1	Labrus bergylta
XM_020641020.3	Labrus bergylta
XM_020641019.3	Labrus bergylta
XM_029276503.2	Labrus bergylta
XM_020629286.3	Labrus bergylta
XM_020649971.3	Labrus bergylta
XM_029280650.2	Labrus bergylta
XM_020651237.3	Labrus bergylta
XM_020632299.2	Labrus bergylta
XM_020653953.3	Labrus bergylta
XM_020653952.3	Labrus bergylta
XM_065960728.1	Labrus bergylta
XM_020636175.3	Labrus bergylta
XM_020646419.3	Labrus bergylta
LC822261.1	Pseudoblennius percoides
XM_065900434.1	Phocoena phocoena
XM_065900432.1	Phocoena phocoena
XM_065900431.1	Phocoena phocoena
XM_065882713.1	Phocoena phocoena
XM_065882712.1	Phocoena phocoena
XM_065878098.1	Phocoena phocoena
XM_065876942.1	Phocoena phocoena
XM_065876617.1	Phocoena phocoena
XM_065875926.1	Phocoena phocoena
XM_065874815.1	Phocoena phocoena
XM_065874814.1	Phocoena phocoena
XM_065899438.1	Phocoena phocoena
XM_065899275.1	Phocoena phocoena
XM_065898914.1	Phocoena phocoena
XM_065898913.1	Phocoena phocoena
XM_065872450.1	Phocoena phocoena
XR_010655458.1	Phocoena phocoena
XM_065897859.1	Phocoena phocoena
XM_065897767.1	Phocoena phocoena
XM_065897168.1	Phocoena phocoena
XM_065897049.1	Phocoena phocoena
XM_065897048.1	Phocoena phocoena
XM_065897047.1	Phocoena phocoena
XM_065895632.1	Phocoena phocoena
XM_065888442.1	Phocoena phocoena
XM_065888155.1	Phocoena phocoena
XM_065890285.1	Phocoena phocoena
XM_065887759.1	Phocoena phocoena
PP740380.1	Gymnogobius scrobiculatus
PP911627.1	Glossogobius callidus
PP911626.1	Glossogobius callidus
PP911625.1	Anguilla mossambica
PP911624.1	Anguilla mossambica
LC819408.1	Platax teira
LC819406.1	Furcina ishikawae
LC201018.1	Plestiodon leucostictus
LC201017.1	Plestiodon leucostictus
OR805165.1	Sphyraena guachancho
OR805161.1	Centropomus armatus
LC499474.1	Stonogobiops xanthorhinicus
PP118536.1	Lycengraulis grossidens
OR051949.1	Leptocottus armatus
OR051948.1	Cottus ricei
OR051947.1	Cottus rhotheus
OR051946.1	Cottus hubbsi
OR051945.1	Cottus confusus
OR051944.1	Cottus cognatus
OR051943.1	Cottus asper
OR051942.1	Cottus aleuticus
OR051940.1	Alosa sapidissima
OQ825961.1	Proscelotes aenea
PP833583.1	Gerres oyena
PP830794.1	Ostorhinchus fasciatus
PP830793.1	Cheilodipterus novemstriatus
PP830792.1	Cheilodipterus macrodon
PP830791.1	Cheilodipterus quinquelineatus
OR603893.1	Somniosus pacificus
OR603890.1	Symbolophorus rufinus
PP824542.1	Stellifer lanceolatus
PP824541.1	Hippocampus erectus
PP824540.1	Caranx lugubris
PP824539.1	Epinephelus adscensionis
PP824538.1	Pristipomoides aquilonaris
PP824537.1	Pristipomoides aquilonaris
PP824536.1	Paranthias furcifer
PP824535.1	Lutjanus griseus
PP824534.1	Lagodon rhomboides
PP824533.1	Lagodon rhomboides
PP824532.1	Lagodon rhomboides
PP824531.1	Lagodon rhomboides
PP824530.1	Lagodon rhomboides
PP824529.1	Lagodon rhomboides
PP824528.1	Lagodon rhomboides
PP824527.1	Brevoortia patronus
PP824526.1	Brevoortia patronus
PP824525.1	Brevoortia patronus
PP824524.1	Brevoortia patronus
PP824523.1	Brevoortia patronus
PP824522.1	Brevoortia patronus
PP824521.1	Brevoortia patronus
PP824520.1	Brevoortia patronus
PP824519.1	Brevoortia patronus
PP824518.1	Brevoortia patronus
PP824517.1	Brevoortia patronus
PP824516.1	Brevoortia patronus
PP824515.1	Brevoortia patronus
PP824514.1	Brevoortia patronus
PP824513.1	Brevoortia patronus
PP824512.1	Brevoortia patronus
PP824511.1	Brevoortia patronus
PP824510.1	Brevoortia patronus
PP824509.1	Brevoortia patronus
PP824508.1	Brevoortia patronus
PP824507.1	Mycteroperca phenax
PP824506.1	Lopholatilus chamaeleonticeps
PP824505.1	Scomberomorus cavalla
PP824504.1	Harengula jaguana
PP824503.1	Lagodon rhomboides
PP824502.1	Cephalopholis cruentata
PP824501.1	Bodianus rufus
PP824500.1	Carangoides bartholomaei
PP824499.1	Opsanus beta
PP824498.1	Elops smithi
PP824495.1	Megalops atlanticus
PP824494.1	Megalops atlanticus
XM_057847174.1	Corythoichthys intestinalis
XM_057847172.1	Corythoichthys intestinalis
XM_057844493.1	Corythoichthys intestinalis
XM_057839628.1	Corythoichthys intestinalis
XM_057839476.1	Corythoichthys intestinalis
XM_057839475.1	Corythoichthys intestinalis
XM_057839465.1	Corythoichthys intestinalis
XM_057839464.1	Corythoichthys intestinalis
XM_057839292.1	Corythoichthys intestinalis
XM_057839291.1	Corythoichthys intestinalis
XM_057835907.1	Corythoichthys intestinalis
XM_057834701.1	Corythoichthys intestinalis
XM_057831822.1	Corythoichthys intestinalis
XM_057831821.1	Corythoichthys intestinalis
XM_057828166.1	Corythoichthys intestinalis
XM_057830214.1	Corythoichthys intestinalis
XM_057829706.1	Corythoichthys intestinalis
XM_057821709.1	Corythoichthys intestinalis
XM_057821708.1	Corythoichthys intestinalis
XM_057820368.1	Corythoichthys intestinalis
XM_057817829.1	Corythoichthys intestinalis
XM_057860194.1	Corythoichthys intestinalis
XM_057860111.1	Corythoichthys intestinalis
