LC823739.1	vague species identification (LC823739.1 Artediellus sp. HUMZ:166735 mitochondrial genes for 12S rRNA, tRNA-Val, 16S rRNA, partial and complete sequence), 2 other species exist
OR859533.1	vague species identification (OR859533.1 Crenimugil sp. voucher 569a-EP 16S ribosomal RNA gene, partial sequence; mitochondrial), 2 other species exist
OR859531.1	vague species identification (OR859531.1 Crenimugil sp. voucher PNG9 16S ribosomal RNA gene, partial sequence; mitochondrial), 2 other species exist
OR859530.1	vague species identification (OR859530.1 Crenimugil sp. E JDD-2024 voucher TTVT_10_5 16S ribosomal RNA gene, partial sequence; mitochondrial), 2 other species exist
OR859529.1	vague species identification (OR859529.1 Crenimugil sp. voucher Sudan-1 16S ribosomal RNA gene, partial sequence; mitochondrial), 2 other species exist
OR859528.1	vague species identification (OR859528.1 Crenimugil sp. D JDD-2024 voucher LTP_NI_06 16S ribosomal RNA gene, partial sequence; mitochondrial), 2 other species exist
OR859527.1	vague species identification (OR859527.1 Crenimugil sp. voucher M-1131 16S ribosomal RNA gene, partial sequence; mitochondrial), 2 other species exist
OR859525.1	vague species identification (OR859525.1 Crenimugil sp. voucher M-1132 16S ribosomal RNA gene, partial sequence; mitochondrial), 2 other species exist
OR859524.1	vague species identification (OR859524.1 Crenimugil sp. B JDD-2024 voucher 090316-1 16S ribosomal RNA gene, partial sequence; mitochondrial), 2 other species exist
OR859523.1	vague species identification (OR859523.1 Crenimugil sp. voucher K-15 16S ribosomal RNA gene, partial sequence; mitochondrial), 2 other species exist
OR859522.1	vague species identification (OR859522.1 Crenimugil sp. C JDD-2024 voucher LTV_CH_36 16S ribosomal RNA gene, partial sequence; mitochondrial), 2 other species exist
OR859521.1	vague species identification (OR859521.1 Crenimugil sp. E JDD-2024 voucher TTVT_10_4 16S ribosomal RNA gene, partial sequence; mitochondrial), 2 other species exist
OR859520.1	vague species identification (OR859520.1 Crenimugil sp. A JDD-2024 voucher LTV_CH_24 16S ribosomal RNA gene, partial sequence; mitochondrial), 2 other species exist
OR859518.1	vague species identification (OR859518.1 Crenimugil sp. voucher PNG10 16S ribosomal RNA gene, partial sequence; mitochondrial), 2 other species exist
OR859517.1	vague species identification (OR859517.1 Crenimugil sp. voucher Sudan-10 16S ribosomal RNA gene, partial sequence; mitochondrial), 2 other species exist
OR859515.1	vague species identification (OR859515.1 Crenimugil sp. voucher K-14 16S ribosomal RNA gene, partial sequence; mitochondrial), 2 other species exist
OR094583.1	vague species identification (OR094583.1 Lestrolepis sp. voucher 12S_W5 small subunit ribosomal RNA gene, partial sequence; mitochondrial), 0 other species exist
OR094582.1	vague species identification (OR094582.1 Astronesthes sp. voucher 12S_G26 small subunit ribosomal RNA gene, partial sequence; mitochondrial), 0 other species exist
OR094581.1	vague species identification (OR094581.1 Benthosema sp. voucher 12S_B3 small subunit ribosomal RNA gene, partial sequence; mitochondrial), 4 other species exist
OR094580.1	vague species identification (OR094580.1 Maurolicus sp. voucher 12S_AA25 small subunit ribosomal RNA gene, partial sequence; mitochondrial), 5 other species exist
OR094579.1	vague species identification (OR094579.1 Vinciguerria cf. mabahiss voucher 12S_A15 small subunit ribosomal RNA gene, partial sequence; mitochondrial), 3 other species exist
LC812907.1	vague species identification (LC812907.1 Dasyscopelus sp. CBM:ZF:14749 mitochondrial genes for 12S rRNA, tRNA-Val, 16S rRNA, partial and complete sequence), 2 other species exist
OR529473.1	vague species identification (OR529473.1 Caretta caretta x Lepidochelys olivacea voucher Hybrid B small subunit ribosomal RNA gene, partial sequence; mitochondrial), 0 other species exist
OR529472.1	vague species identification (OR529472.1 Caretta caretta X Eretmochelys imbricata X Chelonia mydas voucher Hybrid A small subunit ribosomal RNA gene, partial sequence; mitochondrial), 0 other species exist
LC801548.1	vague species identification (LC801548.1 Neobythites sp. CBM:ZF:23594 mitochondrial genes for 12S rRNA, tRNA-Val, 16S rRNA, partial and complete sequence), 3 other species exist
LC749805.1	vague species identification (LC749805.1 Facciolella sp. CBM:ZF:22627 mitochondrial genes for 12S rRNA, tRNA-Val, 16S rRNA, partial and complete sequence), 0 other species exist
LC797997.1	vague species identification (LC797997.1 Scopeloberyx sp. CBM:ZF:20179 mitochondrial genes for 12S rRNA, tRNA-Val, 16S rRNA, partial and complete sequence), 2 other species exist
AF215236.1	vague species identification (AF215236.1 Chalcides sp. 16S ribosomal RNA gene, partial sequence; mitochondrial), 31 other species exist
AF153566.1	vague species identification (AF153566.1 Trachylepis cf. dumasi 16S ribosomal RNA gene, partial sequence; mitochondrial), 66 other species exist
MZ285434.1	vague species identification (MZ285434.1 Trachylepis aff. vato isolate ACZCV 889 16S ribosomal RNA gene, partial sequence; mitochondrial), 66 other species exist
KC345404.1	vague species identification (KC345404.1 Trachylepis sp. Mab5 16S ribosomal RNA gene, partial sequence; mitochondrial), 66 other species exist
JQ007915.1	vague species identification (JQ007915.1 Madascincus sp. AM-2012 isolate ZCMV 2285 voucher ZSM:30/2005 16S ribosomal RNA gene, partial sequence; mitochondrial), 11 other species exist
JQ007914.1	vague species identification (JQ007914.1 Madascincus sp. AM-2012 isolate ZCMV 2284 voucher ZSM:29/2005 16S ribosomal RNA gene, partial sequence; mitochondrial), 11 other species exist
