Urogymnus granulatus
Muraenichthys hibinoi
Tylosurus acus
Tylosurus acus
Tylosurus acus
Tylosurus acus
Tylosurus acus
Belone svetovidovi
Belone svetovidovi
Belone svetovidovi
Belone svetovidovi
Belone svetovidovi
Belone svetovidovi
Belone svetovidovi
Belone svetovidovi
Belone svetovidovi
Belone svetovidovi
Belone belone
Belone belone
Belone belone
Belone belone
Belone belone
Periophthalmodon schlosseri
Periophthalmodon schlosseri
Pseudapocryptes elongatus
Pseudapocryptes elongatus
Pseudapocryptes elongatus
Boleophthalmus boddarti
Isurus oxyrinchus
Isurus oxyrinchus
Isurus oxyrinchus
Isurus oxyrinchus
Isurus oxyrinchus
Sphyrna lewini
Carcharhinus obscurus
Squalus megalops
Pteroplatytrygon violacea
Sphyrna lewini
Galeocerdo cuvier
Mustelus mosis
Loxodon macrorhinus
Loxodon macrorhinus
Loxodon macrorhinus
Loxodon macrorhinus
Mustelus mosis
Mustelus mosis
Mustelus mosis
Loxodon macrorhinus
Mustelus mosis
Loxodon macrorhinus
Isurus oxyrinchus
Isurus oxyrinchus
Isurus oxyrinchus
Isurus oxyrinchus
Isurus oxyrinchus
Isurus oxyrinchus
Isurus paucus
Galeocerdo cuvier
Carcharhinus plumbeus
Carcharhinus obscurus
Sphyrna zygaena
Sphyrna zygaena
Sphyrna zygaena
Sphyrna lewini
Loxodon macrorhinus
Oxyurichthys ophthalmonema
Crenidens crenidens
Doryrhamphus excisus
Gymnothorax nudivomer
Strophidon dorsalis
Sphyraena chrysotaenia
Epinephelus diacanthus
Petroscirtes breviceps
Corythoichthys intestinalis
Euthynnus affinis
Lutjanus jocu
Pterengraulis atherinoides
Sphoeroides testudineus
Rhinosardinia amazonica
Rhinosardinia amazonica
Rhinosardinia amazonica
Lycengraulis grossidens
Sciades proops
Cynoscion acoupa
Micropogonias furnieri
Stellifer stellifer
Cynoscion acoupa
Ctenogobius stigmaticus
Glaucostegus halavi
Maculabatis arabica
Stolephorus andhraensis
Stolephorus andhraensis
Stolephorus andhraensis
Stolephorus andhraensis
Stolephorus andhraensis
Stolephorus andhraensis
Stolephorus andhraensis
Stolephorus andhraensis
Encrasicholina pseudoheteroloba
Encrasicholina pseudoheteroloba
Stolephorus andhraensis
Stolephorus commersonnii
Stolephorus balinensis
Encrasicholina heteroloba
Stolephorus balinensis
Encrasicholina heteroloba
Encrasicholina pseudoheteroloba
Stolephorus baweanensis
Stolephorus baweanensis
Encrasicholina pseudoheteroloba
Stolephorus andhraensis
Stolephorus andhraensis
Encrasicholina heteroloba
Stolephorus andhraensis
Stolephorus baweanensis
Thryssa dussumieri
Encrasicholina heteroloba
Encrasicholina heteroloba
Encrasicholina punctifer
Thryssa kammalensis
Thryssa kammalensis
Stolephorus baganensis
Stolephorus baganensis
Thryssa kammalensis
Stolephorus baganensis
Stolephorus baganensis
Stolephorus indicus
Stolephorus indicus
Stolephorus baweanensis
Encrasicholina heteroloba
Stolephorus baweanensis
Stolephorus baweanensis
Stolephorus baweanensis
Stolephorus baweanensis
Encrasicholina pseudoheteroloba
Stolephorus baweanensis
Stolephorus baweanensis
Encrasicholina heteroloba
Encrasicholina heteroloba
Encrasicholina heteroloba
Encrasicholina heteroloba
Encrasicholina pseudoheteroloba
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja miraletus
Raja ocellifera
Raja ocellifera
Raja ocellifera
Raja ocellifera
Raja ocellifera
Raja ocellifera
Raja ocellifera
Raja ocellifera
Raja ocellifera
Raja ocellifera
Raja ocellifera
Raja ocellifera
Raja ocellifera
