16S_NC_086922.1:1092-2771	Clupeonella abrau
16S_NC_084077.1:1091-2779	Cottus hypselurus
16S_NC_082531.1:1119-2790	Parupeneus crassilabris
16S_NC_082530.1:1121-2789	Parupeneus barberinus
16S_NC_082529.1:1125-2790	Parupeneus cyclostomus
16S_NC_082528.1:1121-2789	Parupeneus biaculeatus
16S_NC_082527.1:1124-2795	Parupeneus barberinoides
16S_NC_073503.1:1090-2771	Cirripectes stigmaticus
16S_NC_073155.1:1090-2770	Cirripectes randalli
16S_NC_073148.1:1090-2773	Cirripectes castaneus
16S_NC_072936.1:1095-2790	Pagrus pagrus
16S_NC_068673.1:1090-2784	Cottus cognatus
16S_NC_063510.1:1090-2756	Takifugu pseudommus
16S_NC_060794.1:1108-2783	Dipturus intermedius
16S_NC_056403.1:1080-2743	Ophichthys cuchia
16S_NC_056402.1:1138-2755	Proterorhinus semilunaris
16S_NC_047238.1:1098-2767	Carcharhinus amblyrhynchos
16S_NC_047231.1:2563-4227	Hydrolagus affinis
16S_NC_045517.1:1125-2726	Aethia cristatella
16S_NC_042256.1:1124-2764	Carcharhinus falciformis
16S_NC_040858.1:1106-2699	Haliaeetus albicilla
16S_NC_038226.1:1095-2778	Periophthalmus novemradiatus
16S_NC_038195.1:13740-15336	Milvus migrans
16S_NC_037017.1:1093-2777	Alosa aestivalis
16S_NC_037016.1:1093-2777	Alosa mediocris
16S_NC_036415.1:1114-2690	Delphinus delphis
16S_NC_035736.1:1096-2830	Lates niloticus
16S_NC_027970.1:1093-2792	Centropyge flavissima
16S_NC_027592.1:1093-2798	Apolemichthys griffisi
16S_NC_027585.1:1096-2793	Holacanthus africanus
16S_NC_027436.1:1086-2738	Cetonurus globiceps
PP962386.1	Gomphosus caeruleus
PP962385.1	Coris aygula
PP962384.1	Epibulus insidiator
PP962383.1	Cheilio inermis
PP962382.1	Oxycheilinus digramma
PP988396.1	Steno bredanensis
PP988394.1	Crocodylus palustris
PP988389.1	Kogia sima
PP981401.1	Pelecanus onocrotalus
LC830265.1	Pristipomoides sieboldii
LC830264.1	Hemiramphus far
LC830263.1	Ventrifossa garmani
LC830262.1	Pterygotrigla macrorhynchus
LC829650.1	Lutjanus ophuysenii
LC829649.1	Chlorophthalmus albatrossis
OR737884.1	Sauvagella robusta
OR737883.1	Sauvagella robusta
OR737882.1	Sauvagella robusta
OR737881.1	Sauvagella robusta
OR737880.1	Sauvagella robusta
OR737879.1	Sauvagella robusta
OR737878.1	Sauvagella robusta
OR737849.1	Awaous aeneofuscus
OR737848.1	Awaous aeneofuscus
LC822261.1	Pseudoblennius percoides
PP740380.1	Gymnogobius scrobiculatus
PP911627.1	Glossogobius callidus
PP911626.1	Glossogobius callidus
PP911625.1	Anguilla mossambica
PP911624.1	Anguilla mossambica
LC770430.1	Photopectoralis bindus
LC770429.1	Photopectoralis aureus
LC770428.1	Photolateralis moretoniensis
LC770427.1	Photolateralis moretoniensis
LC770426.1	Nuchequula longicornis
LC770425.1	Nuchequula blochii
LC770424.1	Leiognathus equula
LC770423.1	Karalla daura
LC770422.1	Gazza rhombea
LC770421.1	Gazza minuta
LC770420.1	Eubleekeria splendens
LC770419.1	Eubleekeria jonesi
LC770418.1	Equulites ryukyuensis
LC770417.1	Equulites ryukyuensis
LC770416.1	Equulites ryukyuensis
LC770415.1	Equulites oblongus
LC770414.1	Equulites oblongus
LC770413.1	Equulites leuciscus
LC770412.1	Equulites leuciscus
LC770411.1	Equulites berbis
LC770410.1	Equulites berbis
LC770409.1	Equulites berbis
LC770408.1	Equulites berbis
LC770407.1	Equulites berbis
LC770406.1	Equulites berbis
LC770405.1	Equulites berbis
LC770404.1	Equulites berbis
LC770403.1	Equulites berbis
LC770402.1	Equulites berbis
LC770401.1	Equulites berbis
LC770400.1	Equulites berbis
LC770399.1	Equulites berbis
LC770398.1	Equulites berbis
LC770397.1	Equulites berbis
LC770396.1	Deveximentum megalolepis
LC770395.1	Deveximentum indicium
LC819408.1	Platax teira
LC819406.1	Furcina ishikawae
OR805165.1	Sphyraena guachancho
OR805161.1	Centropomus armatus
OR859532.1	Crenimugil crenilabis
OR859526.1	Crenimugil crenilabis
OR859519.1	Crenimugil buchanani
OR859516.1	Crenimugil crenilabis
PP118536.1	Lycengraulis grossidens
OQ825961.1	Proscelotes aenea
PP833583.1	Gerres oyena
LC799937.1	Takifugu porphyreus
LC799936.1	Takifugu porphyreus
LC799935.1	Takifugu porphyreus
LC799934.1	Takifugu porphyreus
LC799933.1	Takifugu porphyreus
LC799932.1	Takifugu porphyreus
LC799931.1	Takifugu porphyreus
LC799930.1	Takifugu porphyreus
LC799929.1	Takifugu porphyreus
LC799928.1	Takifugu porphyreus
LC799927.1	Takifugu porphyreus
LC799926.1	Takifugu porphyreus
LC799925.1	Takifugu porphyreus
LC799924.1	Takifugu porphyreus
LC799923.1	Takifugu porphyreus
LC799922.1	Takifugu porphyreus
LC799921.1	Takifugu porphyreus
LC799920.1	Takifugu porphyreus
LC799919.1	Takifugu porphyreus
LC799918.1	Takifugu porphyreus
LC799917.1	Takifugu porphyreus
LC799916.1	Takifugu porphyreus
LC799915.1	Takifugu porphyreus
LC799914.1	Takifugu porphyreus
LC799913.1	Takifugu porphyreus
LC799912.1	Takifugu porphyreus
LC799911.1	Takifugu porphyreus
LC799910.1	Takifugu porphyreus
LC799909.1	Takifugu porphyreus
LC799908.1	Takifugu porphyreus
LC799907.1	Takifugu porphyreus
LC799906.1	Takifugu porphyreus
LC799905.1	Takifugu porphyreus
LC799904.1	Takifugu porphyreus
LC799903.1	Takifugu porphyreus
LC799902.1	Takifugu porphyreus
LC799901.1	Takifugu porphyreus
LC799900.1	Takifugu porphyreus
LC799899.1	Takifugu porphyreus
LC799898.1	Takifugu porphyreus
LC799897.1	Takifugu porphyreus
LC799896.1	Takifugu porphyreus
LC799895.1	Takifugu porphyreus
LC799894.1	Takifugu porphyreus
LC799893.1	Takifugu porphyreus
LC799892.1	Takifugu porphyreus
LC799891.1	Takifugu porphyreus
LC799890.1	Takifugu porphyreus
LC799889.1	Takifugu porphyreus
LC799888.1	Takifugu porphyreus
LC799887.1	Takifugu porphyreus
LC799886.1	Takifugu porphyreus
LC799885.1	Takifugu porphyreus
LC799884.1	Takifugu porphyreus
PP830794.1	Ostorhinchus fasciatus
PP830793.1	Cheilodipterus novemstriatus
PP830792.1	Cheilodipterus macrodon
PP830791.1	Cheilodipterus quinquelineatus
OR603893.1	Somniosus pacificus
OR603890.1	Symbolophorus rufinus
PP824542.1	Stellifer lanceolatus
PP824541.1	Hippocampus erectus
PP824540.1	Caranx lugubris
PP824539.1	Epinephelus adscensionis
PP824538.1	Pristipomoides aquilonaris
PP824537.1	Pristipomoides aquilonaris
PP824536.1	Paranthias furcifer
PP824535.1	Lutjanus griseus
PP824534.1	Lagodon rhomboides
PP824533.1	Lagodon rhomboides
PP824532.1	Lagodon rhomboides
PP824531.1	Lagodon rhomboides
PP824530.1	Lagodon rhomboides
PP824529.1	Lagodon rhomboides
PP824528.1	Lagodon rhomboides
PP824527.1	Brevoortia patronus
PP824526.1	Brevoortia patronus
PP824525.1	Brevoortia patronus
PP824524.1	Brevoortia patronus
PP824523.1	Brevoortia patronus
PP824522.1	Brevoortia patronus
PP824521.1	Brevoortia patronus
PP824520.1	Brevoortia patronus
PP824519.1	Brevoortia patronus
PP824518.1	Brevoortia patronus
PP824517.1	Brevoortia patronus
PP824516.1	Brevoortia patronus
PP824515.1	Brevoortia patronus
PP824514.1	Brevoortia patronus
PP824513.1	Brevoortia patronus
PP824512.1	Brevoortia patronus
PP824511.1	Brevoortia patronus
PP824510.1	Brevoortia patronus
PP824509.1	Brevoortia patronus
PP824508.1	Brevoortia patronus
PP824507.1	Mycteroperca phenax
PP824506.1	Lopholatilus chamaeleonticeps
PP824505.1	Scomberomorus cavalla
PP824504.1	Harengula jaguana
PP824503.1	Lagodon rhomboides
PP824502.1	Cephalopholis cruentata
PP824501.1	Bodianus rufus
PP824500.1	Carangoides bartholomaei
PP824499.1	Opsanus beta
PP824498.1	Elops smithi
PP824495.1	Megalops atlanticus
PP824494.1	Megalops atlanticus
LC815100.1	Glyptocephalus kitaharae
LC815099.1	Semicossyphus reticulatus
OQ843502.1	Ecsenius prooculis
OQ843501.1	Ecsenius shirleyae
OQ843500.1	Ecsenius schroederi
OQ843499.1	Ecsenius oculatus
OQ843498.1	Ecsenius pictus
OQ843497.1	Ecsenius pardus
OQ843496.1	Ecsenius portenoyi
OQ832504.1	Ecsenius yaeyamaensis
OQ832499.1	Ecsenius springeri
OQ832498.1	Ecsenius springeri
OQ832497.1	Ecsenius springeri
OQ832501.1	Ecsenius taeniatus
OQ832500.1	Ecsenius taeniatus
OQ832503.1	Ecsenius isos
OQ832502.1	Ecsenius isos
OQ800988.1	Ecsenius midas
OQ800987.1	Ecsenius bimaculatus
OQ800986.1	Ecsenius fijiensis
OQ800985.1	Ecsenius bicolor
LC506441.2	Leiuranus versicolor
LC506442.1	Leiuranus semicinctus
LC506440.1	Ophichthus cephalozona
LC506439.1	Ophichthus shaoi
LC506438.1	Ophichthus zophistius
LC506437.1	Myrichthys colubrinus
LC506436.1	Myrichthys maculosus
AB206136.1	Zoramia leptacanthus
LC814583.1	Pseudolabrus sieboldi
LC814582.1	Careproctus melanurus
LC814581.1	Protomyctophum thompsoni
LC814580.1	Stenobrachius nannochir
LC814579.1	Diaphus kuroshio
LC710272.1	Yongeichthys audax
OQ825962.1	Proscelotes aenea
OQ813504.1	Microcarbo niger
OQ813503.1	Microcarbo melanoleucos
OQ813502.1	Microcarbo coronatus
OQ813501.1	Microcarbo africanus
LC812913.1	Tarletonbeania crenularis
LC812912.1	Diaphus garmani
LC812911.1	Stenobrachius leucopsarus
LC812910.1	Bathylagus pacificus
LC812909.1	Scopelosaurus harryi
LC812908.1	Ceratoscopelus warmingii
LC812906.1	Acanthopagrus latus
LC812905.1	Scatophagus argus
LC812904.1	Parapristipoma trilineatum
LC785646.1	Japonoconger sivicolus
LC785645.1	Rhynchoconger ectenurus
LC785600.1	Rhynchoconger ectenurus
LC785599.1	Rhynchoconger ectenurus
LC785598.1	Rhynchoconger ectenurus
LC785612.1	Rhynchoconger ectenurus
LC785611.1	Rhynchoconger ectenurus
LC785610.1	Rhynchoconger ectenurus
LC785609.1	Rhynchoconger ectenurus
LC785608.1	Rhynchoconger ectenurus
LC785607.1	Rhynchoconger ectenurus
LC785606.1	Rhynchoconger ectenurus
LC785605.1	Rhynchoconger ectenurus
LC785604.1	Rhynchoconger ectenurus
LC785603.1	Rhynchoconger ectenurus
LC785602.1	Rhynchoconger ectenurus
LC785601.1	Rhynchoconger ectenurus
LC785644.1	Rhynchoconger ectenurus
LC785643.1	Rhynchoconger ectenurus
LC785642.1	Rhynchoconger ectenurus
LC785641.1	Rhynchoconger ectenurus
LC785640.1	Rhynchoconger ectenurus
LC785639.1	Rhynchoconger ectenurus
LC785638.1	Rhynchoconger ectenurus
LC785637.1	Rhynchoconger ectenurus
LC785636.1	Rhynchoconger ectenurus
LC785635.1	Rhynchoconger ectenurus
LC785634.1	Rhynchoconger ectenurus
LC785633.1	Rhynchoconger ectenurus
LC785632.1	Rhynchoconger ectenurus
LC785631.1	Rhynchoconger ectenurus
LC785630.1	Rhynchoconger ectenurus
LC785629.1	Rhynchoconger ectenurus
LC785628.1	Rhynchoconger ectenurus
LC785627.1	Rhynchoconger ectenurus
LC785626.1	Rhynchoconger ectenurus
LC785625.1	Rhynchoconger ectenurus
LC785624.1	Rhynchoconger ectenurus
LC785623.1	Rhynchoconger ectenurus
LC785622.1	Rhynchoconger ectenurus
LC785621.1	Rhynchoconger ectenurus
LC785620.1	Rhynchoconger ectenurus
LC785619.1	Rhynchoconger ectenurus
LC785618.1	Rhynchoconger ectenurus
LC785617.1	Rhynchoconger ectenurus
LC785616.1	Rhynchoconger ectenurus
LC785615.1	Rhynchoconger ectenurus
LC785614.1	Rhynchoconger ectenurus
LC785613.1	Rhynchoconger ectenurus
OR805168.1	Sphyraena qenie
OR805167.1	Sphyraena guachancho
OR805166.1	Sphyraena ensis
OR805164.1	Sphyraena barracuda
OR805163.1	Centropomus unionensis
OR805162.1	Centropomus undecimalis
OR805160.1	Centropomus medius
